id,active,name,category,type,min_grade,min_duration,description
1001,0,"Técnico em Agricultura","Recursos Naturais","Tecnico",,,
1002,0,"Técnico em Agroecologia","Recursos Naturais","Tecnico",,,
1003,0,"Técnico em Agronegócio","Recursos Naturais","Tecnico",,,
1004,0,"Técnico em Agropecuária","Recursos Naturais","Tecnico",,,
1005,0,"Técnico em Aquicultura","Recursos Naturais","Tecnico",,,
1006,0,"Técnico em Cafeicultura","Recursos Naturais","Tecnico",,,
1007,0,"Técnico em Equipamentos Pesqueiros","Recursos Naturais","Tecnico",,,
1008,0,"Técnico em Florestas","Recursos Naturais","Tecnico",,,
1009,0,"Técnico em Fruticultura","Recursos Naturais","Tecnico",,,
1010,0,"Técnico em Geologia","Recursos Naturais","Tecnico",,,
1011,0,"Técnico em Mineração","Recursos Naturais","Tecnico",,,
1012,0,"Técnico em Pesca","Recursos Naturais","Tecnico",,,
1013,0,"Técnico em Recursos Minerais","Recursos Naturais","Tecnico",,,
1014,0,"Técnico em Recursos Pesqueiros","Recursos Naturais","Tecnico",,,
1015,0,"Técnico em Zootecnia","Recursos Naturais","Tecnico",,,
1016,0,"Técnico em Açúcar e Álcool","Produção Indistrual","Tecnico",,,
1017,0,"Técnico em Biocombustíveis","Produção Indistrual","Tecnico",,,
1018,0,"Técnico em Calçados","Produção Indistrual","Tecnico",,,
1019,0,"Técnico em Celulose e Papel","Produção Indistrual","Tecnico",,,
1020,0,"Técnico em Cerâmica","Produção Indistrual","Tecnico",,,
1021,0,"Técnico em Construção Naval","Produção Indistrual","Tecnico",,,
1022,0,"Técnico em Curtimento","Produção Indistrual","Tecnico",,,
1023,0,"Técnico em Fabricação Mecânica","Produção Indistrual","Tecnico",,,
1024,0,"Técnico em Impressão Rotográfica e Flexográfica","Produção Indistrual","Tecnico",,,
1025,0,"Técnico em Impressão Offset","Produção Indistrual","Tecnico",,,
1026,0,"Técnico em Joalheria","Produção Indistrual","Tecnico",,,
1027,0,"Técnico em Móveis","Produção Indistrual","Tecnico",,,
1028,0,"Técnico em Petróleo e Gás","Produção Indistrual","Tecnico",,,
1029,0,"Técnico em Plásticos","Produção Indistrual","Tecnico",,,
1030,0,"Técnico em Pré-Impressão Gráfica","Produção Indistrual","Tecnico",,,
1031,0,"Técnico em Processos Gráficos","Produção Indistrual","Tecnico",,,
1032,0,"Técnico em Têxtil","Produção Indistrual","Tecnico",,,
1033,0,"Técnico em Vestuário","Produção Indistrual","Tecnico",,,
1034,0,"Técnico em Arte Circense","Produção Cultural e Design","Tecnico",,,
1035,0,"Técnico em Arte Dramática","Produção Cultural e Design","Tecnico",,,
1036,0,"Técnico em Artes Visuais","Produção Cultural e Design","Tecnico",,,
1037,0,"Técnico em Artesanato","Produção Cultural e Design","Tecnico",,,
1038,0,"Técnico em Canto","Produção Cultural e Design","Tecnico",,,
1039,0,"Técnico em Composição e Arranjo","Produção Cultural e Design","Tecnico",,,
1040,0,"Técnico em Comunicação Visual","Produção Cultural e Design","Tecnico",,,
1041,0,"Técnico em Conservação e Restauro","Produção Cultural e Design","Tecnico",,,
1042,0,"Técnico em Dança","Produção Cultural e Design","Tecnico",,,
1043,0,"Técnico em Design de Calçados","Produção Cultural e Design","Tecnico",,,
1044,0,"Técnico em Design de Embalagens","Produção Cultural e Design","Tecnico",,,
1045,0,"Técnico em Design de Interiores","Produção Cultural e Design","Tecnico",,,
1046,0,"Técnico em Design de Joias","Produção Cultural e Design","Tecnico",,,
1047,0,"Técnico em Design de Móveis","Produção Cultural e Design","Tecnico",,,
1048,0,"Técnico em Documentação Musical","Produção Cultural e Design","Tecnico",,,
1049,0,"Técnico em Fabricação de Instrumentos Musicais","Produção Cultural e Design","Tecnico",,,
1050,0,"Técnico em Instrumento Musical","Produção Cultural e Design","Tecnico",,,
1051,0,"Técnico em Modelagem do Vestuário","Produção Cultural e Design","Tecnico",,,
1052,0,"Técnico em Multimídia","Produção Cultural e Design","Tecnico",,,
1053,0,"Técnico em Museologia","Produção Cultural e Design","Tecnico",,,
1054,0,"Técnico em Paisagismo","Produção Cultural e Design","Tecnico",,,
1055,0,"Técnico em Processos Fonográficos","Produção Cultural e Design","Tecnico",,,
1056,0,"Técnico em Processos Fotográficos","Produção Cultural e Design","Tecnico",,,
1057,0,"Técnico em Produção de Áudio e Vídeo","Produção Cultural e Design","Tecnico",,,
1058,0,"Técnico em Produção de Moda","Produção Cultural e Design","Tecnico",,,
1059,0,"Técnico em Publicidade","Produção Cultural e Design","Tecnico",,,
1060,0,"Técnico em Rádio e Televisão","Produção Cultural e Design","Tecnico",,,
1061,0,"Técnico em Regência","Produção Cultural e Design","Tecnico",,,
1062,0,"Técnico em Alimentos","Produção Alimentícia","Tecnico",,,
1063,0,"Técnico em Agroindústria","Produção Alimentícia","Tecnico",,,
1064,0,"Técnico em Apicultura","Produção Alimentícia","Tecnico",,,
1065,0,"Técnico em Cervejaria","Produção Alimentícia","Tecnico",,,
1066,0,"Técnico em Confeitaria","Produção Alimentícia","Tecnico",,,
1067,0,"Técnico em Panificação","Produção Alimentícia","Tecnico",,,
1068,0,"Técnico em Processamento de Pescado","Produção Alimentícia","Tecnico",,,
1069,0,"Técnico em Viticultura e Enologia","Produção Alimentícia","Tecnico",,,
1070,0,"Técnico em Ações de Comandos","Militar","Tecnico",,,
1071,0,"Técnico em Armamento de Aeronaves","Militar","Tecnico",,,
1072,0,"Técnico em Artilharia","Militar","Tecnico",,,
1073,0,"Técnico em Artilharia Antiaérea","Militar","Tecnico",,,
1074,0,"Técnico em Cavalaria","Militar","Tecnico",,,
1075,0,"Técnico em Combate a Incêndio, Resgate e Prevenção de Acidentes de Aviação","Militar","Tecnico",,,
1076,0,"Técnico em Comunicações Aeronáuticas","Militar","Tecnico",,,
1077,0,"Técnico em Comunicações Navais","Militar","Tecnico",,,
1078,0,"Técnico em Controle de Tráfego Aéreo","Militar","Tecnico",,,
1079,0,"Técnico em Desenho Militar","Militar","Tecnico",,,
1080,0,"Técnico em Eletricidade e Instrumentos Aeronáuticos","Militar","Tecnico",,,
1081,0,"Técnico em Equipamento de Engenharia","Militar","Tecnico",,,
1082,0,"Técnico em Equipamentos de Voo","Militar","Tecnico",,,
1083,0,"Técnico em Estrutura e Pintura de Aeronaves","Militar","Tecnico",,,
1084,0,"Técnico em Forças Especiais","Militar","Tecnico",,,
1085,0,"Técnico em Fotointeligência","Militar","Tecnico",,,
1086,0,"Técnico em Guarda e Segurança","Militar","Tecnico",,,
1087,0,"Técnico em Hidrografia","Militar","Tecnico",,,
1088,0,"Técnico em Infantaria","Militar","Tecnico",,,
1089,0,"Técnico em Informações Aeronáuticas","Militar","Tecnico",,,
1090,0,"Técnico em Manobras e Equipamentos de Convés","Militar","Tecnico",,,
1091,0,"Técnico em Material Bélico","Militar","Tecnico",,,
1092,0,"Técnico em Mecânica de Aeronaves","Militar","Tecnico",,,
1093,0,"Técnico em Mergulho","Militar","Tecnico",,,
1094,0,"Técnico em Montanhismo","Militar","Tecnico",,,
1095,0,"Técnico em Navegação Fluvial","Militar","Tecnico",,,
1096,0,"Técnico em Operação de Radar","Militar","Tecnico",,,
1097,0,"Técnico em Operação de Sonar","Militar","Tecnico",,,
1098,0,"Técnico em Operações de Engenharia Militar","Militar","Tecnico",,,
1099,0,"Técnico em Preparação Física e Desportiva Militar","Militar","Tecnico",,,
1100,0,"Técnico em Sensores de Aviação","Militar","Tecnico",,,
1101,0,"Técnico em Sinais Navais","Militar","Tecnico",,,
1102,0,"Técnico em Sinalização Náutica","Militar","Tecnico",,,
1103,0,"Técnico em Suprimento","Militar","Tecnico",,,
1104,0,"Técnico Aeroportuário","Infraestrutura","Tecnico",,,
1105,0,"Técnico em Agrimensura","Infraestrutura","Tecnico",,,
1106,0,"Técnico em Carpintaria","Infraestrutura","Tecnico",,,
1107,0,"Técnico em Desenho de Construção Civil","Infraestrutura","Tecnico",,,
1108,0,"Técnico em Edificações","Infraestrutura","Tecnico",,,
1109,0,"Técnico em Estradas","Infraestrutura","Tecnico",,,
1110,0,"Técnico em Geodésia e Cartografia","Infraestrutura","Tecnico",,,
1111,0,"Técnico em Geoprocessamento","Infraestrutura","Tecnico",,,
1112,0,"Técnico em Hidrologia","Infraestrutura","Tecnico",,,
1113,0,"Técnico em Portos","Infraestrutura","Tecnico",,,
1114,0,"Técnico em Saneamento","Infraestrutura","Tecnico",,,
1115,0,"Técnico em Trânsito","Infraestrutura","Tecnico",,,
1116,0,"Técnico em Transporte Aquaviário","Infraestrutura","Tecnico",,,
1117,0,"Técnico em Transporte de Cargas","Infraestrutura","Tecnico",,,
