id,approved,title,type,inep,cnpj,lat,lng,address_street,address_number,address_neighborhood,address_city,address_state,address_postal_code,address_telephone,uri,description,owner_name,owner_email
1001,1,"CEEJA CEEJA DE LINHARES","estadual","32021798","12345678-0341",-19.3951288,-40.0646549,"RUA MONSENHOR PEDRINHA","S/N","CENTRO","LINHARES","ES","29900160","-27","","","nome_teste","CENTROLINHARES@SEDU.ES.GOV.BR"
1002,1,"CEEJA DE CACHOEIRO DE ITAPEMIRIM","estadual","32052081","12345678-0062",-20.8537524,-41.1054083,"RUA MOREIRA","215","CORONEL BORGES","CACHOEIRO DE ITAPEMIRIM","ES","29306320","()","","","nome_teste","email@email.com"
1003,1,"CEEJA DE VITORIA","estadual","32039972","12345678-0172",-20.2984850,-40.3693901,"RUA SAO BENTO","66","CENTRO","VITORIA","ES","29016290","(27)32236429","","","nome_teste","ESCOLAVITORIA@SEDU.ES.GOV.BR"
1004,1,"CEEJA PEDRO ANTONIO VITALI","estadual","32010303","12345678-0259",-19.5146429,-40.6752853,"AVENIDA PEDRO VITALI","209","CENTRO","COLATINA","ES","29707150","(27)37214868","","","nome_teste","CENTROPEDROVITALI@SEDU.ES.GOV.BR"
1005,1,"CEET TALMO LUIZ SILVA","estadual","32080204","12345678-0339",-19.7581899,-40.3862792,"RUA PADRE ANCHIETA","250","VILA NOVA DE CIMA","JOAO NEIVA","ES","29680000","(27)32583874/32582022","","","nome_teste","ESCOLATALMOLUIZ@SEDU.ES.GOV.BR"
1006,1,"CEET VASCO COUTINHO","estadual","32038569","12345678-0472",-20.3477821,-40.2949528,"RUA LUCIANO DAS NEVES","","CENTRO","VILA VELHA","ES","29100200","(27)32294655/33296923","","","nome_teste","VASCOCOUTINHO@SECTTI.ES.GOV.BR"
1007,1,"EE CENTRO DE APOIO PEDAGOGICO AO DEFICIENTE VISUAL","estadual","32079117","12345678-0173",-20.3562562,-40.3702858,"AVENIDA LEITAO DA SILVA","","PRAIA DO SUA","VITORIA","ES","29052111","()","","","nome_teste","email@email.com"
1008,1,"EE COMUNITARIA RURAL DE COLATINA","estadual","32079958","12345678-0260",-19.5146429,-40.6752853,"RUA EUCLIDES PRETTI","","RETA GRANDE","COLATINA","ES","29719430","(27)37433172","","","nome_teste","ESCOLACOLATINA@SEDU.ES.GOV.BR"
1009,1,"EE EEE AUDITIVA LIONS PROF. NAPOLEÃO ALBUQUERQUE","estadual","32052928","12345678-0063",-20.8423173,-41.1151406,"RUA DR. DEOLINDO","198","BAIMINAS","CACHOEIRO DE ITAPEMIRIM","ES","29305440","()","","","nome_teste","email@email.com"
1010,1,"EE NAAHS - NUCLEO DE ATIVIDADES DE ALTAS HAB/SUPERDOTAÇÃO","estadual","32080611","12345678-0174",-20.3554449,-40.3804167,"AVENIDA LEITAO DA SILVA","","PRAIA DO SUA","VITORIA","ES","29052111","()","","","nome_teste","email@email.com"
1011,1,"EEE OR AUD EEE ORAL E AUDITIVA","estadual","32040873","12345678-0175",-20.3312886,-40.4282520,"AVENIDA DARIO LOURENÇO DE SOUZA","752","SANTO ANTONIO","VITORIA","ES","29026080","(27)33222315","","","nome_teste","ESCOLAORALAUDITIVA@SEDU.ES.GOV.BR"
1012,1,"EEE OR AUD PROFESSORA ALECIA FERREIRA COUTO","estadual","32038607","12345678-0473",-20.3366565,-40.2818722,"RUA SANTA LUZIA","S/N","PRAIA DA COSTA","VILA VELHA","ES","29101040","()33890515","","","nome_teste","ESCOLAALECIACOUTO@SEDU.ES.GOV"
1013,1,"EEEF ALEGRE","estadual","32022999","12345678-0359",-20.3366565,-40.2818722,"RUA BR 101 KM 126 CORREGO ALEGRE","","CORREGO ALEGRE","SOORETAMA","ES","29927000","-27","","","nome_teste","ESCOLALEGRE@SEDU.ES.GOV.BR"
1014,1,"EEEF ANTONIO CARNEIRO RIBEIRO","estadual","32046901","12345678-0312",-18.7128584,-40.3984936,"RUA JOSE VIEIRA DE SOUZA","","QUINCAS MACHADO","GUACUI","ES","29560000","(28)35532210","","","nome_teste","ESCOLAANTONIORIBEIRO@SEDU.ES.GOV.BR"
1015,1,"EEEF ANTONIO ESTEVES","estadual","32034563","12345678-0191",-20.3079452,-40.3675598,"RUA MONTE CASTELO","","VERA CRUZ","CARIACICA","ES","29146759","(27)33369976","","","nome_teste","ESCOLAANTONIOESTEVES@SEDU.ES.GOV.BR"
1016,1,"EEEF AUTO GUIMARAES E SOUZA","estadual","32021925","12345678-0342",-18.7327833,-39.7580377,"AVENIDA ARACRUZ","153","SHELL","LINHARES","ES","29901520","(27)33711679","","","nome_teste","ESCOLAALTOGUIMARAES@SEDU.ES.GOV.BR"
1017,1,"EEEF BAIRRO BOA VISTA","estadual","32007787","12345678-0399",-19.0062124,-40.5379890,"RUA FRANCISCO NEVES","24","BOA VISTA","SAO GABRIEL DA PALHA","ES","29780000","(27)37273139","","","nome_teste","ESCOLABAIRROBOAVISTA@SEDU.ES.GOV.BR"
1018,1,"EEEF BARAO DO RIO BRANCO","estadual","32038887","12345678-0474",-20.3395591,-40.3360115,"RUA SEBASTIAO","100","VILA GARRIDO","VILA VELHA","ES","29116280","(27)33261283","","","nome_teste","ESCOLABARAODORIO@SEDU.ES.GOV.BR"
1019,1,"EEEF BRASIL","estadual","32009380","12345678-0254",-19.5119294,-41.0208338,"RUA DUQUE DE CAXIAS","","CENTRO","BAIXO GUANDU","ES","29730000","(27)37322028","","","nome_teste","ESCOLABRASIL@SEDU.ES.GOV.BR"
1020,1,"EEEF CAMPINHO","estadual","32035390","12345678-0127",-20.1480439,-40.2637947,"RUA PINGO DE OURO","500","CAMPINHO DA SERRA I","SERRA","ES","29178029","(27)32514110","","","nome_teste","ESCOLACAMPINHO@SEDU.ES.GOV.BR"
1021,1,"EEEF CARAPEBUS","estadual","32036094","12345678-0128",-20.1520413,-40.2656595,"RUA CORONEL EDGAR","S/N","PRAIA DE CARAPEBUS","SERRA","ES","29164630","(27)33381155","","","nome_teste","ESCOLACARAPEBUS@SEDU.ES.GOV.BR"
1022,1,"EEEF CAROLINA PASSOS GAIGHER","estadual","32052243","12345678-0064",-20.8434226,-41.1107037,"RUA JOSE REBELLO","50","SANTA HELENA","CACHOEIRO DE ITAPEMIRIM","ES","29307158","(28)35112315","","","nome_teste","ESCOLACAROLINAGAIGHE@SEDU.ES.GOV.BR"
1023,1,"EEEF CASTELO BRANCO","estadual","32034458","12345678-0193",-20.3289496,-40.3915998,"RUA MARIANO FIRME","77","BANDEIRANTES","CARIACICA","ES","29142008","()","","","nome_teste","ESCOLACASTELOB@SEDU.ES.GOV.BR"
1024,1,"EEEF CELESTINO DE ALMEIDA","estadual","32034580","12345678-0194",-20.2643105,-40.4203022,"RUA BLUMENAU","","BELA VISTA","CARIACICA","ES","29142296","(27)33264899","","","nome_teste","ESCOLACELESTINO@SEDU.ES.GOV.BR"
1025,1,"EEEF CELITA BASTOS GARCIA","estadual","32043503","12345678-0459",-20.6712084,-40.5133438,"PRACA CENTRAL DE UNA","","UNA","GUARAPARI","ES","29222540","(27)32621431/98889587","","","nome_teste","ESCOLACELITABASTOS@SEDU.ES.GOV.BR"
1026,1,"EEEF CLUBE DO BOSQUE","estadual","32052260","12345678-0065",-20.8616614,-41.1060005,"RUA JORGE MARCONDES DE SOUZA","12","PRESIDENTE ARTHUR DA COSTA E SILVA","CACHOEIRO DE ITAPEMIRIM","ES","29305811","(28)35217304","","","nome_teste","CLUBEDOBOSQUE@SEDU.ES.GOV.BR"
1027,1,"EEEF CORAMARA","estadual","32052294","12345678-0066",-20.8332399,-41.1486231,"AVENIDA JORGE SIMAO","27","CORAMARA","CACHOEIRO DE ITAPEMIRIM","ES","29313367","()35214384","","","nome_teste","ESCOLACORAMARA@SEDU.ES.GOV.BR"
1028,1,"EEEF COTAXE","estadual","32003498","12345678-0051",-20.8428814,-41.1171134,"RUA SANTA CRUZ","31","COTAXE","ECOPORANGA","ES","29855000","(27)37555142","","","nome_teste","ESCOLACOTAXE@SEDU.ES.GOV.BR"
1029,1,"EEEF DANIEL COMBONI","estadual","32002939","12345678-0052",-20.8377513,-41.1114311,"RUA JOAQUIM DE SOUZA LIMA","260","NOSSA SRA APARECIDA","ECOPORANGA","ES","29850000","-27","","","nome_teste","ESCOLADCOMBONI@SEDU.ES.GOV.BR"
1030,1,"EEEF DANTE MICHELINI","estadual","32039697","12345678-0475",-20.3522482,-40.3411731,"RUA RONALDO GONCALVES DE REZENDE","","PLANALTO","VILA VELHA","ES","29118410","-27","","","nome_teste","ESCOLADANTEMICHELINI@SEDU.ES.GOV.BR"
1031,1,"EEEF DESEMBARGADOR CÂNDIDO MARINHO","estadual","32038305","12345678-0476",-20.3483776,-40.3090260,"AVENIDA SALGADO FILHO","","SOTECO","VILA VELHA","ES","29106010","()33395519","","","nome_teste","ESCOLACANDIDOMARINHO@SEDU.ES.GOV.BR"
1032,1,"EEEF DOMINGOS JOSÉ MARTINS - VILA VELHA","estadual","32039700","12345678-0477",-20.3455657,-40.3477170,"RUA CAPRICORNIO","100","ALVORADA","VILA VELHA","ES","29117340","-27","","","nome_teste","ESCOLADOMINGOS@SEDU.ES.GOV.BR"
1033,1,"EEEF DOMINGOS PERIM","estadual","32030142","12345678-0029",-18.7510499,-40.8943438,"RUA LA VILLE","134","TRINTA DE DEZEMBRO","VENDA NOVA DO IMIGRANTE","ES","29375000","(28)35462517","","","nome_teste","ESCOLADOMINGOSPERIM@SEDU.ES.GOV.BR"
1034,1,"EEEF DONA MARIA SANTANA","estadual","32052278","12345678-0068",-20.8467577,-41.1258295,"RUA JACINTO PASTRO","14","BASILEIA","CACHOEIRO DE ITAPEMIRIM","ES","29302848","(28)35119892","","","nome_teste","ESCOLADONAMARIA@SEDU.ES.GOV.BR"
1035,1,"EEEF DR ARISTIDES ALEXANDRE CAMPOS","estadual","32052227","12345678-0069",-20.8467047,-41.1202199,"AVENIDA MONTE CASTELO","","INDEPENDENCIA","CACHOEIRO DE ITAPEMIRIM","ES","29306505","(28)35111923","","","nome_teste","ESCOLADRARISTIDES@SEDU.ES.GOV.BR"
1036,1,"EEEF DR EDWARD ABREU DO NASCIMENTO","estadual","32017243","12345678-0437",-18.3008985,-39.9577395,"RUA DR EDWARD ABREU DO NASCIMENTO","","NOVO HORIZONTE","PEDRO CANARIO","ES","29970000","()37642320","","","nome_teste","ESCOLAEDWARD@SEDU.ES.GOV.BR"
1037,1,"EEEF DR EMILIO ROBERTO ZANOTTI","estadual","32017995","12345678-0443",-18.7203586,-39.8600346,"RUA RAIMUNDO GUILHERME SOBRINHO","","CENTRO","SAO MATEUS","ES","29930050","(27)37631158","","","nome_teste","ESCOLAEMILIOROBERTO@SEDU.ES.GOV.BR"
1038,1,"EEEF DR MOACIR AVIDOS","estadual","32011709","12345678-0270",-19.2333769,-40.5153935,"RODOVIA DÁRIO SALVADOR","","CORREGO MOACIR","GOVERNADOR LINDENBERG","ES","29720000","(27)37441172","","","nome_teste","ESCOLAMOACIRAVIDOS@SEDU.ES.GOV.BR"
1039,1,"EEEF DR SOUZA ARAUJO","estadual","32033753","12345678-0195",-20.3477033,-40.3852789,"RUA PRINCIPAL","","PORTO BELO I","CARIACICA","ES","29156000","()32843120","","","nome_teste","ESCOLASOUZAARAUJO@SEDU.ES.GOV.BR"
1040,1,"EEEF EGIDIO BORDONI","estadual","32018045","12345678-0444",-18.7191438,-39.8567437,"RODOVIA BR-101 NORTE","","MORADA DE RIBEIRAO","SAO MATEUS","ES","29936450","(27)99742650","","","nome_teste","email@email.com"
1041,1,"EEEF ELISEU LOFEGO","estadual","32052286","12345678-0070",-20.8410224,-41.1254518,"RUA MATEUS","","RUI PINTO BANDEIRA","CACHOEIRO DE ITAPEMIRIM","ES","29315802","(28)35215272","","","nome_teste","ESCOLAELIZEULOFEGO@SEDU.ES.GOV.BR"
